Treatment,Mouse,9,11,14,18,21,25
Group 01,3843,82.84,476.47,975.71,1529.49,2277.78,3907.12
Group 01,3845,95.34,276.59,487.37,1172.16,2067.52,3114.49
Group 01,3881,90.18,284.1,405.3,1015.45,2091.96,2720.56
Group 01,3898,95.33,211.36,458.15,918.37,1633.17,3550.97
Group 01,3923,90.3,240.62,328.32,836.68,1364.26,2238.41
Group 01,3927,84.69,227.19,493.65,752.89,1567.48,2491.43
Group 01,3930,80.04,258.57,513.32,1002.62,1560.67,2833.21
Group 01,3935,84.16,254.63,455.21,906.91,1501.01,2455.29
Group 01,3949,86.04,324.82,606.98,1175.33,1871.29,2299.75
Group 01,3950,87.97,200.79,398.65,608.88,870.67,1870.06
Group 02,3856,85.17,292.89,295.09,458.03,891.47,1007.19
Group 02,3859,83.94,207.35,411.43,643.92,943.27,1154.73
Group 02,3885,81.77,273.99,455.14,701.89,1006.04,1349.18
Group 02,3888,81.72,252.03,503.58,1022.83,1457.92,2803.36
Group 02,3889,84.41,289.49,728.38,1426.28,1918.95,3991.75
Group 02,3896,92.75,208.11,445.1,1110.36,1333.53,1413.42
Group 02,3910,98.07,279.2,521.58,573.18,813.19,1247.23
Group 02,3919,92.59,264.49,572.81,1072.48,1665,3115.79
Group 02,3925,88.22,318.13,551.64,652.75,1052.51,1200.5
Group 02,3926,88.23,224.71,380.83,616.45,846.76,1093.21
Group 03,3847,94.57,307.19,518.66,1097.98,1400.99,2810.96
Group 03,3849,90.85,277.73,526.45,1017.7,1143.14,
Group 03,3857,83.32,332.65,842.33,1435.45,1907.72,3939.32
Group 03,3893,90.15,276.92,666.49,1007.35,1025.78,2107.67
Group 03,3894,86.17,281.78,621.7,1278.98,1561.95,3475.71
Group 03,3899,84.49,118.38,291.83,562.9,1013.15,1916.06
Group 03,3904,81.1,298.41,650.12,1037.29,1802.46,2716.97
Group 03,3905,97.6,339.49,692.43,1285.32,1819.28,3741.12
Group 03,3918,86.19,262.77,648.82,1362.2,1926,3087.73
Group 03,3939,82.51,248.82,497.92,1199.67,1573.61,3277.33
Group 04,3836,93.81,348.57,588.64,1287.81,1820.45,3752.66
Group 04,3837,89.13,302.63,847.45,1392.86,1719.37,3480.19
Group 04,3858,97.71,257.91,456.03,990.41,1271.77,2660.46
Group 04,3863,81.61,230.86,373.26,609.72,1178.63,2119.41
Group 04,3880,91.26,231.07,364,549.66,896.79,1761.06
Group 04,3891,82.2,299.92,519.57,1006.9,1395.19,2728.6
Group 04,3901,85.76,339.57,633.03,1532.14,2123.25,3933.16
Group 04,3907,82.73,264.3,600.38,1280.27,1738.92,3979.84
Group 04,3934,87.65,254.23,356.16,820.92,1333.37,2348.2
Group 04,3956,85.06,373,767.09,1321.32,2005.69,3999.57
Group 05,3840,87.01,398.82,590.68,1215.27,1801.81,3452.78
Group 05,3855,90.23,322.71,605.4,1401.35,1608.11,3613.45
Group 05,3879,89.97,177.87,541.26,1153.96,1499.65,3966.79
Group 05,3900,82.07,184.06,340.6,664.5,896.34,1958.39
Group 05,3908,85.63,252.56,483.02,721.18,733.41,1952.52
Group 05,3917,85.94,249.68,784.85,1340.01,2185.66,3863.02
Group 05,3921,82.66,260.6,578.87,1207.2,1758.32,3962.11
Group 05,3929,96.59,255.33,485.42,986.71,1166.56,2612.61
Group 05,3948,95.25,410.41,785.89,1451.73,2125.65,3955.48
Group 05,3951,81.63,237.79,587.58,891.54,1246.19,2697.93
Group 06,3852,99.85,263.36,703.54,1396.92,1998.62,3659.58
Group 06,3892,88.14,298.34,581.31,1136.67,1364.38,2993.64
Group 06,3895,92.1,266.17,436.42,564.46,868.08,1541.95
Group 06,3903,81.98,228.76,252.21,412.32,697.11,997.25
Group 06,3909,84.72,202.32,309.69,755.37,1135.92,2309.64
Group 06,3911,81.68,270.43,800.22,1237.91,1692.31,3568.95
Group 06,3913,86.69,219.86,487.59,803.51,1287.46,2231.45
