Treatment,Mouse,5,8,11,15,18,22,24
Group 01,0906,89.29,332.42,406.74,533.24,697.30,1455.92,1701.21
Group 01,0908,80.23,239.56,252.45,288.94,426.58,801.60,1001.78
Group 01,0913,87.68,254.77,355.78,587.75,844.25,1600.51,1762.70
Group 01,0916,93.74,264.62,426.62,737.12,992.24,1726.15,2122.70
Group 01,0962,85.71,295.25,351.42,482.10,679.50,1380.74,1421.41
Group 01,0965,87.31,208.55,523.74,606.25,924.51,1473.49,1853.26
Group 01,0967,90.81,191.65,284.41,326.66,365.40,432.32,542.90
Group 01,0976,84.03,249.33,353.69,472.71,932.17,1251.79,1542.48
Group 01,0979,95.59,249.02,292.18,433.81,555.75,944.79,1475.05
Group 01,1013,93.64,262.17,313.10,371.95,508.89,1066.29,1510.97
Group 02,0905,81.07,292.18,317.47,529.47,816.51,1255.76,1872.97
Group 02,0911,92.66,180.28,240.90,288.65,315.45,335.77,357.94
Group 02,0915,88.82,181.38,254.77,276.46,565.02,1045.60,1252.36
Group 02,0918,85.02,210.27,242.63,268.22,376.26,731.57,1036.44
Group 02,0954,88.10,155.52,236.82,294.24,366.02,694.64,768.22
Group 02,0969,83.91,187.09,239.13,255.44,278.57,414.01,427.84
Group 02,1000,94.85,379.75,611.78,696.24,755.76,962.27,1047.57
Group 02,1004,95.37,238.48,263.36,306.30,329.51,555.72,664.81
Group 02,1006,86.80,205.43,222.92,295.50,307.68,345.97,353.06
Group 02,1018,91.51,286.62,340.59,348.72,359.15,65.28,27.40
Group 03,0888,87.75,290.07,484.21,627.75,884.09,1387.17,1914.26
Group 03,0892,87.41,297.98,306.62,639.22,671.25,1394.92,
Group 03,0928,89.88,322.11,461.02,795.50,1048.99,1685.73,1743.52
Group 03,0931,95.22,314.80,525.21,1157.19,1387.52,2007.15,
Group 03,0935,90.65,243.80,472.53,931.52,1184.73,2239.58,2902.29
Group 03,0963,92.60,316.09,485.48,910.44,1017.54,1518.08,1956.66
Group 03,1007,81.62,232.65,399.42,885.04,1078.31,1397.40,1520.01
Group 03,1010,94.84,160.47,313.60,573.15,970.80,1500.20,1802.90
