Treatment,Mouse,6,10,13,17,20,25
Group 01,00906,90.62,271.14,322.04,560.99,734.83,1207.77
Group 01,00941,94.72,282.12,391.95,679.19,852.50,1509.12
Group 01,00942,97.55,221.28,503.79,779.50,1023.55,1572.07
Group 01,00947,93.03,325.60,388.43,499.68,688.80,1067.87
Group 01,00950,84.06,187.09,217.69,428.55,584.01,1001.32
Group 01,00963,101.76,263.03,349.31,459.90,600.30,846.41
Group 01,00965,100.09,231.39,325.55,363.31,423.29,578.38
Group 01,00967,90.95,329.56,618.18,798.45,1405.52,2022.65
Group 01,00989,89.58,317.72,441.21,644.30,923.85,1385.21
Group 01,001007,86.80,310.23,383.39,437.62,735.00,1034.54
Group 02,00905,90.32,253.45,402.10,446.37,528.06,608.51
Group 02,00908,94.51,256.17,316.50,441.05,588.35,595.01
Group 02,00958,84.54,379.63,402.55,454.71,458.40,465.32
Group 02,00960,88.65,153.40,183.16,195.69,48.35,0.00
Group 02,001004,86.58,237.15,409.23,434.88,497.98,696.00
Group 02,001009,100.63,235.90,311.97,353.55,405.87,469.65
Group 02,001011,92.45,260.13,367.94,564.99,671.50,898.43
Group 02,001024,93.14,296.19,411.48,434.75,484.09,504.98
Group 02,001025,97.57,227.02,279.74,303.91,318.61,355.22
Group 02,001026,100.84,250.21,286.31,368.58,465.20,530.75
Group 03,00899,85.11,225.55,438.86,621.23,797.72,1093.39
Group 03,00901,97.09,362.08,647.88,905.57,1010.60,1200.92
Group 03,00907,103.88,293.03,424.44,617.44,770.92,1122.33
Group 03,00939,96.02,267.45,323.42,530.92,677.18,836.30
Group 03,00953,99.10,355.38,499.63,568.92,679.51,835.93
Group 03,00955,86.21,217.08,310.44,504.15,703.30,1204.75
Group 03,00961,87.15,233.76,292.19,474.74,634.49,746.35
Group 03,00973,90.42,356.11,490.55,687.85,866.92,1311.42
Group 03,00998,91.12,319.73,383.72,606.12,1015.11,1540.56
Group 03,001010,93.35,325.47,428.23,600.61,770.40,820.74
Group 04,00897,87.30,311.39,510.33,925.15,1341.93,2132.99
Group 04,00900,90.51,415.34,605.42,1130.35,1478.99,2320.98
Group 04,00940,97.95,325.34,919.81,1242.61,1827.45,2884.77
Group 04,00970,86.37,353.42,617.43,1115.65,1299.88,2017.30
Group 04,00979,85.33,356.18,559.23,1088.50,1411.79,2580.19
