"","type","vehicle_double_time","tv0","method","n_sim","n","tgi_c","t","kit_a","kit_c","Power"
"1","CombPDX_CI",5,100,"Bliss",100,2,0.85,30,10,10,0.34
"2","AUC",5,100,"Bliss",100,2,0.85,30,10,10,0.3
"3","CombPDX_CI",5,100,"Bliss",100,3,0.85,30,10,10,0.37
"4","AUC",5,100,"Bliss",100,3,0.85,30,10,10,0.34
"5","CombPDX_CI",5,100,"Bliss",100,4,0.85,30,10,10,0.59
"6","AUC",5,100,"Bliss",100,4,0.85,30,10,10,0.32
"7","CombPDX_CI",5,100,"Bliss",100,5,0.85,30,10,10,0.59
"8","AUC",5,100,"Bliss",100,5,0.85,30,10,10,0.24
"9","CombPDX_CI",5,100,"Bliss",100,6,0.85,30,10,10,0.7
"10","AUC",5,100,"Bliss",100,6,0.85,30,10,10,0.32
"11","CombPDX_CI",5,100,"Bliss",100,7,0.85,30,10,10,0.59
"12","AUC",5,100,"Bliss",100,7,0.85,30,10,10,0.37
"13","CombPDX_CI",5,100,"Bliss",100,8,0.85,30,10,10,0.7
"14","AUC",5,100,"Bliss",100,8,0.85,30,10,10,0.32
"15","CombPDX_CI",5,100,"Bliss",100,9,0.85,30,10,10,0.74
"16","AUC",5,100,"Bliss",100,9,0.85,30,10,10,0.43
"17","CombPDX_CI",5,100,"Bliss",100,10,0.85,30,10,10,0.81
"18","AUC",5,100,"Bliss",100,10,0.85,30,10,10,0.41
"19","CombPDX_CI",5,100,"Bliss",100,2,0.85,40,10,10,0.33
"20","AUC",5,100,"Bliss",100,2,0.85,40,10,10,0.66
"21","CombPDX_CI",5,100,"Bliss",100,3,0.85,40,10,10,0.34
"22","AUC",5,100,"Bliss",100,3,0.85,40,10,10,0.63
"23","CombPDX_CI",5,100,"Bliss",100,4,0.85,40,10,10,0.41
"24","AUC",5,100,"Bliss",100,4,0.85,40,10,10,0.75
"25","CombPDX_CI",5,100,"Bliss",100,5,0.85,40,10,10,0.66
"26","AUC",5,100,"Bliss",100,5,0.85,40,10,10,0.77
"27","CombPDX_CI",5,100,"Bliss",100,6,0.85,40,10,10,0.68
"28","AUC",5,100,"Bliss",100,6,0.85,40,10,10,0.83
"29","CombPDX_CI",5,100,"Bliss",100,7,0.85,40,10,10,0.7
"30","AUC",5,100,"Bliss",100,7,0.85,40,10,10,0.89
"31","CombPDX_CI",5,100,"Bliss",100,8,0.85,40,10,10,0.68
"32","AUC",5,100,"Bliss",100,8,0.85,40,10,10,0.87
"33","CombPDX_CI",5,100,"Bliss",100,9,0.85,40,10,10,0.75
"34","AUC",5,100,"Bliss",100,9,0.85,40,10,10,0.92
"35","CombPDX_CI",5,100,"Bliss",100,10,0.85,40,10,10,0.85
"36","AUC",5,100,"Bliss",100,10,0.85,40,10,10,0.9
"37","CombPDX_CI",5,100,"Bliss",100,2,0.85,50,10,10,0.33
"38","AUC",5,100,"Bliss",100,2,0.85,50,10,10,0.78
"39","CombPDX_CI",5,100,"Bliss",100,3,0.85,50,10,10,0.45
"40","AUC",5,100,"Bliss",100,3,0.85,50,10,10,0.79
"41","CombPDX_CI",5,100,"Bliss",100,4,0.85,50,10,10,0.42
"42","AUC",5,100,"Bliss",100,4,0.85,50,10,10,0.9
"43","CombPDX_CI",5,100,"Bliss",100,5,0.85,50,10,10,0.59
"44","AUC",5,100,"Bliss",100,5,0.85,50,10,10,0.86
"45","CombPDX_CI",5,100,"Bliss",100,6,0.85,50,10,10,0.66
"46","AUC",5,100,"Bliss",100,6,0.85,50,10,10,0.93
"47","CombPDX_CI",5,100,"Bliss",100,7,0.85,50,10,10,0.62
"48","AUC",5,100,"Bliss",100,7,0.85,50,10,10,0.92
"49","CombPDX_CI",5,100,"Bliss",100,8,0.85,50,10,10,0.74
"50","AUC",5,100,"Bliss",100,8,0.85,50,10,10,0.95
"51","CombPDX_CI",5,100,"Bliss",100,9,0.85,50,10,10,0.68
"52","AUC",5,100,"Bliss",100,9,0.85,50,10,10,0.98
"53","CombPDX_CI",5,100,"Bliss",100,10,0.85,50,10,10,0.8
"54","AUC",5,100,"Bliss",100,10,0.85,50,10,10,1
