"","type","cv_r","vehicle_double_time","tv0","method","n_sim","n","tgi_c","t","rp_a","rp_b","rp_c","Power"
"1","lmm",0.05,7,200,"Bliss",100,2,0.8,30,0.1,0.1,0.1,0.16
"2","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.8,30,0.1,0.1,0.1,0.11
"3","AUC",0.05,7,200,"Bliss",100,2,0.8,30,0.1,0.1,0.1,0.65
"4","lmm",0.05,7,200,"Bliss",100,3,0.8,30,0.1,0.1,0.1,0.2
"5","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.8,30,0.1,0.1,0.1,0.18
"6","AUC",0.05,7,200,"Bliss",100,3,0.8,30,0.1,0.1,0.1,0.56
"7","lmm",0.05,7,200,"Bliss",100,4,0.8,30,0.1,0.1,0.1,0.18
"8","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.8,30,0.1,0.1,0.1,0.23
"9","AUC",0.05,7,200,"Bliss",100,4,0.8,30,0.1,0.1,0.1,0.61
"10","lmm",0.05,7,200,"Bliss",100,5,0.8,30,0.1,0.1,0.1,0.27
"11","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.8,30,0.1,0.1,0.1,0.2
"12","AUC",0.05,7,200,"Bliss",100,5,0.8,30,0.1,0.1,0.1,0.78
"13","lmm",0.05,7,200,"Bliss",100,6,0.8,30,0.1,0.1,0.1,0.27
"14","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.8,30,0.1,0.1,0.1,0.29
"15","AUC",0.05,7,200,"Bliss",100,6,0.8,30,0.1,0.1,0.1,0.73
"16","lmm",0.05,7,200,"Bliss",100,7,0.8,30,0.1,0.1,0.1,0.3
"17","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.8,30,0.1,0.1,0.1,0.34
"18","AUC",0.05,7,200,"Bliss",100,7,0.8,30,0.1,0.1,0.1,0.82
"19","lmm",0.05,7,200,"Bliss",100,8,0.8,30,0.1,0.1,0.1,0.44
"20","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.8,30,0.1,0.1,0.1,0.28
"21","AUC",0.05,7,200,"Bliss",100,8,0.8,30,0.1,0.1,0.1,0.92
"22","lmm",0.05,7,200,"Bliss",100,9,0.8,30,0.1,0.1,0.1,0.41
"23","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.8,30,0.1,0.1,0.1,0.41
"24","AUC",0.05,7,200,"Bliss",100,9,0.8,30,0.1,0.1,0.1,0.84
"25","lmm",0.05,7,200,"Bliss",100,10,0.8,30,0.1,0.1,0.1,0.39
"26","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.8,30,0.1,0.1,0.1,0.34
"27","AUC",0.05,7,200,"Bliss",100,10,0.8,30,0.1,0.1,0.1,0.89
"28","lmm",0.05,7,200,"Bliss",100,2,0.8,40,0.1,0.1,0.1,0.15
"29","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.8,40,0.1,0.1,0.1,0.15
"30","AUC",0.05,7,200,"Bliss",100,2,0.8,40,0.1,0.1,0.1,0.32
"31","lmm",0.05,7,200,"Bliss",100,3,0.8,40,0.1,0.1,0.1,0.16
"32","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.8,40,0.1,0.1,0.1,0.28
"33","AUC",0.05,7,200,"Bliss",100,3,0.8,40,0.1,0.1,0.1,0.24
"34","lmm",0.05,7,200,"Bliss",100,4,0.8,40,0.1,0.1,0.1,0.12
"35","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.8,40,0.1,0.1,0.1,0.33
"36","AUC",0.05,7,200,"Bliss",100,4,0.8,40,0.1,0.1,0.1,0.26
"37","lmm",0.05,7,200,"Bliss",100,5,0.8,40,0.1,0.1,0.1,0.21
"38","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.8,40,0.1,0.1,0.1,0.21
"39","AUC",0.05,7,200,"Bliss",100,5,0.8,40,0.1,0.1,0.1,0.21
"40","lmm",0.05,7,200,"Bliss",100,6,0.8,40,0.1,0.1,0.1,0.15
"41","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.8,40,0.1,0.1,0.1,0.29
"42","AUC",0.05,7,200,"Bliss",100,6,0.8,40,0.1,0.1,0.1,0.2
"43","lmm",0.05,7,200,"Bliss",100,7,0.8,40,0.1,0.1,0.1,0.15
"44","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.8,40,0.1,0.1,0.1,0.34
"45","AUC",0.05,7,200,"Bliss",100,7,0.8,40,0.1,0.1,0.1,0.28
"46","lmm",0.05,7,200,"Bliss",100,8,0.8,40,0.1,0.1,0.1,0.22
"47","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.8,40,0.1,0.1,0.1,0.37
"48","AUC",0.05,7,200,"Bliss",100,8,0.8,40,0.1,0.1,0.1,0.28
"49","lmm",0.05,7,200,"Bliss",100,9,0.8,40,0.1,0.1,0.1,0.21
"50","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.8,40,0.1,0.1,0.1,0.48
"51","AUC",0.05,7,200,"Bliss",100,9,0.8,40,0.1,0.1,0.1,0.28
"52","lmm",0.05,7,200,"Bliss",100,10,0.8,40,0.1,0.1,0.1,0.24
"53","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.8,40,0.1,0.1,0.1,0.39
"54","AUC",0.05,7,200,"Bliss",100,10,0.8,40,0.1,0.1,0.1,0.24
"55","lmm",0.05,7,200,"Bliss",100,2,0.8,50,0.1,0.1,0.1,0.44
"56","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.8,50,0.1,0.1,0.1,0.15
"57","AUC",0.05,7,200,"Bliss",100,2,0.8,50,0.1,0.1,0.1,0.05
"58","lmm",0.05,7,200,"Bliss",100,3,0.8,50,0.1,0.1,0.1,0.52
"59","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.8,50,0.1,0.1,0.1,0.16
"60","AUC",0.05,7,200,"Bliss",100,3,0.8,50,0.1,0.1,0.1,0.04
"61","lmm",0.05,7,200,"Bliss",100,4,0.8,50,0.1,0.1,0.1,0.67
"62","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.8,50,0.1,0.1,0.1,0.29
"63","AUC",0.05,7,200,"Bliss",100,4,0.8,50,0.1,0.1,0.1,0.04
"64","lmm",0.05,7,200,"Bliss",100,5,0.8,50,0.1,0.1,0.1,0.73
"65","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.8,50,0.1,0.1,0.1,0.23
"66","AUC",0.05,7,200,"Bliss",100,5,0.8,50,0.1,0.1,0.1,0
"67","lmm",0.05,7,200,"Bliss",100,6,0.8,50,0.1,0.1,0.1,0.85
"68","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.8,50,0.1,0.1,0.1,0.28
"69","AUC",0.05,7,200,"Bliss",100,6,0.8,50,0.1,0.1,0.1,0.02
"70","lmm",0.05,7,200,"Bliss",100,7,0.8,50,0.1,0.1,0.1,0.92
"71","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.8,50,0.1,0.1,0.1,0.35
"72","AUC",0.05,7,200,"Bliss",100,7,0.8,50,0.1,0.1,0.1,0
"73","lmm",0.05,7,200,"Bliss",100,8,0.8,50,0.1,0.1,0.1,0.81
