"","type","vehicle_double_time","tv0","method","n_sim","n","tgi_c","Power"
"1","CombPDX_CI",7,100,"Bliss",100,2,0.7,0.09
"2","AUC",7,100,"Bliss",100,2,0.7,0.2
"3","CombPDX_CI",7,100,"Bliss",100,3,0.7,0.04
"4","AUC",7,100,"Bliss",100,3,0.7,0.18
"5","CombPDX_CI",7,100,"Bliss",100,4,0.7,0.06
"6","AUC",7,100,"Bliss",100,4,0.7,0.1
"7","CombPDX_CI",7,100,"Bliss",100,5,0.7,0.08
"8","AUC",7,100,"Bliss",100,5,0.7,0.09
"9","CombPDX_CI",7,100,"Bliss",100,6,0.7,0.04
"10","AUC",7,100,"Bliss",100,6,0.7,0.12
"11","CombPDX_CI",7,100,"Bliss",100,7,0.7,0.06
"12","AUC",7,100,"Bliss",100,7,0.7,0.12
"13","CombPDX_CI",7,100,"Bliss",100,8,0.7,0.11
"14","AUC",7,100,"Bliss",100,8,0.7,0.11
"15","CombPDX_CI",7,100,"Bliss",100,9,0.7,0.03
"16","AUC",7,100,"Bliss",100,9,0.7,0.1
"17","CombPDX_CI",7,100,"Bliss",100,10,0.7,0.09
"18","AUC",7,100,"Bliss",100,10,0.7,0.02
"19","CombPDX_CI",7,100,"Bliss",100,2,0.75,0.45
"20","AUC",7,100,"Bliss",100,2,0.75,0.63
"21","CombPDX_CI",7,100,"Bliss",100,3,0.75,0.49
"22","AUC",7,100,"Bliss",100,3,0.75,0.53
"23","CombPDX_CI",7,100,"Bliss",100,4,0.75,0.59
"24","AUC",7,100,"Bliss",100,4,0.75,0.52
"25","CombPDX_CI",7,100,"Bliss",100,5,0.75,0.66
"26","AUC",7,100,"Bliss",100,5,0.75,0.68
"27","CombPDX_CI",7,100,"Bliss",100,6,0.75,0.77
"28","AUC",7,100,"Bliss",100,6,0.75,0.74
"29","CombPDX_CI",7,100,"Bliss",100,7,0.75,0.69
"30","AUC",7,100,"Bliss",100,7,0.75,0.73
"31","CombPDX_CI",7,100,"Bliss",100,8,0.75,0.77
"32","AUC",7,100,"Bliss",100,8,0.75,0.76
"33","CombPDX_CI",7,100,"Bliss",100,9,0.75,0.77
"34","AUC",7,100,"Bliss",100,9,0.75,0.89
"35","CombPDX_CI",7,100,"Bliss",100,10,0.75,0.91
"36","AUC",7,100,"Bliss",100,10,0.75,0.87
"37","CombPDX_CI",7,100,"Bliss",100,2,0.8,0.84
"38","AUC",7,100,"Bliss",100,2,0.8,0.88
"39","CombPDX_CI",7,100,"Bliss",100,3,0.8,0.97
"40","AUC",7,100,"Bliss",100,3,0.8,0.93
"41","CombPDX_CI",7,100,"Bliss",100,4,0.8,0.98
"42","AUC",7,100,"Bliss",100,4,0.8,0.95
"43","CombPDX_CI",7,100,"Bliss",100,5,0.8,1
"44","AUC",7,100,"Bliss",100,5,0.8,0.98
"45","CombPDX_CI",7,100,"Bliss",100,6,0.8,1
"46","AUC",7,100,"Bliss",100,6,0.8,0.99
"47","CombPDX_CI",7,100,"Bliss",100,7,0.8,1
"48","AUC",7,100,"Bliss",100,7,0.8,1
"49","CombPDX_CI",7,100,"Bliss",100,8,0.8,1
"50","AUC",7,100,"Bliss",100,8,0.8,1
"51","CombPDX_CI",7,100,"Bliss",100,9,0.8,1
"52","AUC",7,100,"Bliss",100,9,0.8,1
"53","CombPDX_CI",7,100,"Bliss",100,10,0.8,1
"54","AUC",7,100,"Bliss",100,10,0.8,1
