"","type","vehicle_double_time","tv0","method","eu_tv","n_sim","n","tgi_c","Power"
"1","CombPDX_CI",5,150,"Bliss",500,100,2,0.7,0.06
"2","AUC",5,150,"Bliss",500,100,2,0.7,0.28
"3","CombPDX_CI",5,150,"Bliss",1000,100,2,0.7,0.06
"4","AUC",5,150,"Bliss",1000,100,2,0.7,0.11
"5","CombPDX_CI",5,150,"Bliss",1500,100,2,0.7,0.08
"6","AUC",5,150,"Bliss",1500,100,2,0.7,0.23
"7","CombPDX_CI",5,150,"Bliss",2000,100,2,0.7,0.08
"8","AUC",5,150,"Bliss",2000,100,2,0.7,0.2
"9","CombPDX_CI",5,150,"Bliss",2500,100,2,0.7,0.08
"10","AUC",5,150,"Bliss",2500,100,2,0.7,0.15
"11","CombPDX_CI",5,150,"Bliss",500,100,3,0.7,0.08
"12","AUC",5,150,"Bliss",500,100,3,0.7,0.15
"13","CombPDX_CI",5,150,"Bliss",1000,100,3,0.7,0.1
"14","AUC",5,150,"Bliss",1000,100,3,0.7,0.16
"15","CombPDX_CI",5,150,"Bliss",1500,100,3,0.7,0.09
"16","AUC",5,150,"Bliss",1500,100,3,0.7,0.2
"17","CombPDX_CI",5,150,"Bliss",2000,100,3,0.7,0.04
"18","AUC",5,150,"Bliss",2000,100,3,0.7,0.11
"19","CombPDX_CI",5,150,"Bliss",2500,100,3,0.7,0.06
"20","AUC",5,150,"Bliss",2500,100,3,0.7,0.15
"21","CombPDX_CI",5,150,"Bliss",500,100,4,0.7,0.05
"22","AUC",5,150,"Bliss",500,100,4,0.7,0.17
"23","CombPDX_CI",5,150,"Bliss",1000,100,4,0.7,0.06
"24","AUC",5,150,"Bliss",1000,100,4,0.7,0.11
"25","CombPDX_CI",5,150,"Bliss",1500,100,4,0.7,0.09
"26","AUC",5,150,"Bliss",1500,100,4,0.7,0.09
"27","CombPDX_CI",5,150,"Bliss",2000,100,4,0.7,0.06
"28","AUC",5,150,"Bliss",2000,100,4,0.7,0.07
"29","CombPDX_CI",5,150,"Bliss",2500,100,4,0.7,0.05
"30","AUC",5,150,"Bliss",2500,100,4,0.7,0.14
"31","CombPDX_CI",5,150,"Bliss",500,100,5,0.7,0.05
"32","AUC",5,150,"Bliss",500,100,5,0.7,0.15
"33","CombPDX_CI",5,150,"Bliss",1000,100,5,0.7,0.04
"34","AUC",5,150,"Bliss",1000,100,5,0.7,0.15
"35","CombPDX_CI",5,150,"Bliss",1500,100,5,0.7,0.03
"36","AUC",5,150,"Bliss",1500,100,5,0.7,0.09
"37","CombPDX_CI",5,150,"Bliss",2000,100,5,0.7,0.1
"38","AUC",5,150,"Bliss",2000,100,5,0.7,0.13
