"X","type","vehicle_double_time","tv0","method","n_sim","n","tgi_c","Power"
1,"CombPDX_CI",3,100,"Bliss",100,2,0.7,0.1
2,"AUC",3,100,"Bliss",100,2,0.7,0.14
3,"CombPDX_CI",5,100,"Bliss",100,2,0.7,0.08
4,"AUC",5,100,"Bliss",100,2,0.7,0.19
1,"CombPDX_CI",7,100,"Bliss",100,2,0.7,0.09
2,"AUC",7,100,"Bliss",100,2,0.7,0.2
7,"CombPDX_CI",10,100,"Bliss",100,2,0.7,0.12
8,"AUC",10,100,"Bliss",100,2,0.7,0.19
9,"CombPDX_CI",3,100,"Bliss",100,3,0.7,0.06
10,"AUC",3,100,"Bliss",100,3,0.7,0.15
11,"CombPDX_CI",5,100,"Bliss",100,3,0.7,0.12
12,"AUC",5,100,"Bliss",100,3,0.7,0.12
3,"CombPDX_CI",7,100,"Bliss",100,3,0.7,0.04
4,"AUC",7,100,"Bliss",100,3,0.7,0.18
15,"CombPDX_CI",10,100,"Bliss",100,3,0.7,0.04
16,"AUC",10,100,"Bliss",100,3,0.7,0.21
17,"CombPDX_CI",3,100,"Bliss",100,4,0.7,0.07
18,"AUC",3,100,"Bliss",100,4,0.7,0.2
19,"CombPDX_CI",5,100,"Bliss",100,4,0.7,0.13
20,"AUC",5,100,"Bliss",100,4,0.7,0.13
5,"CombPDX_CI",7,100,"Bliss",100,4,0.7,0.06
6,"AUC",7,100,"Bliss",100,4,0.7,0.1
23,"CombPDX_CI",10,100,"Bliss",100,4,0.7,0.09
24,"AUC",10,100,"Bliss",100,4,0.7,0.14
25,"CombPDX_CI",3,100,"Bliss",100,5,0.7,0.08
26,"AUC",3,100,"Bliss",100,5,0.7,0.06
27,"CombPDX_CI",5,100,"Bliss",100,5,0.7,0.06
28,"AUC",5,100,"Bliss",100,5,0.7,0.1
7,"CombPDX_CI",7,100,"Bliss",100,5,0.7,0.08
8,"AUC",7,100,"Bliss",100,5,0.7,0.09
31,"CombPDX_CI",10,100,"Bliss",100,5,0.7,0.07
32,"AUC",10,100,"Bliss",100,5,0.7,0.08
33,"CombPDX_CI",3,100,"Bliss",100,6,0.7,0.08
34,"AUC",3,100,"Bliss",100,6,0.7,0.17
35,"CombPDX_CI",5,100,"Bliss",100,6,0.7,0.03
36,"AUC",5,100,"Bliss",100,6,0.7,0.08
9,"CombPDX_CI",7,100,"Bliss",100,6,0.7,0.04
10,"AUC",7,100,"Bliss",100,6,0.7,0.12
39,"CombPDX_CI",10,100,"Bliss",100,6,0.7,0.07
40,"AUC",10,100,"Bliss",100,6,0.7,0.15
41,"CombPDX_CI",3,100,"Bliss",100,7,0.7,0.06
42,"AUC",3,100,"Bliss",100,7,0.7,0.14
43,"CombPDX_CI",5,100,"Bliss",100,7,0.7,0.06
44,"AUC",5,100,"Bliss",100,7,0.7,0.15
11,"CombPDX_CI",7,100,"Bliss",100,7,0.7,0.06
12,"AUC",7,100,"Bliss",100,7,0.7,0.12
47,"CombPDX_CI",10,100,"Bliss",100,7,0.7,0.06
48,"AUC",10,100,"Bliss",100,7,0.7,0.04
49,"CombPDX_CI",3,100,"Bliss",100,8,0.7,0.05
50,"AUC",3,100,"Bliss",100,8,0.7,0.16
51,"CombPDX_CI",5,100,"Bliss",100,8,0.7,0.07
52,"AUC",5,100,"Bliss",100,8,0.7,0.11
13,"CombPDX_CI",7,100,"Bliss",100,8,0.7,0.11
14,"AUC",7,100,"Bliss",100,8,0.7,0.11
55,"CombPDX_CI",10,100,"Bliss",100,8,0.7,0.05
56,"AUC",10,100,"Bliss",100,8,0.7,0.08
57,"CombPDX_CI",3,100,"Bliss",100,9,0.7,0.04
58,"AUC",3,100,"Bliss",100,9,0.7,0.1
59,"CombPDX_CI",5,100,"Bliss",100,9,0.7,0.05
60,"AUC",5,100,"Bliss",100,9,0.7,0.13
15,"CombPDX_CI",7,100,"Bliss",100,9,0.7,0.03
16,"AUC",7,100,"Bliss",100,9,0.7,0.1
63,"CombPDX_CI",10,100,"Bliss",100,9,0.7,0.06
64,"AUC",10,100,"Bliss",100,9,0.7,0.08
65,"CombPDX_CI",3,100,"Bliss",100,10,0.7,0.11
66,"AUC",3,100,"Bliss",100,10,0.7,0.1
67,"CombPDX_CI",5,100,"Bliss",100,10,0.7,0.07
68,"AUC",5,100,"Bliss",100,10,0.7,0.06
17,"CombPDX_CI",7,100,"Bliss",100,10,0.7,0.09
18,"AUC",7,100,"Bliss",100,10,0.7,0.02
71,"CombPDX_CI",10,100,"Bliss",100,10,0.7,0.06
72,"AUC",10,100,"Bliss",100,10,0.7,0.13
73,"CombPDX_CI",3,100,"Bliss",100,2,0.75,0.22
74,"AUC",3,100,"Bliss",100,2,0.75,0.32
75,"CombPDX_CI",5,100,"Bliss",100,2,0.75,0.3
76,"AUC",5,100,"Bliss",100,2,0.75,0.44
19,"CombPDX_CI",7,100,"Bliss",100,2,0.75,0.45
20,"AUC",7,100,"Bliss",100,2,0.75,0.63
79,"CombPDX_CI",10,100,"Bliss",100,2,0.75,0.52
80,"AUC",10,100,"Bliss",100,2,0.75,0.63
81,"CombPDX_CI",3,100,"Bliss",100,3,0.75,0.25
82,"AUC",3,100,"Bliss",100,3,0.75,0.26
83,"CombPDX_CI",5,100,"Bliss",100,3,0.75,0.37
84,"AUC",5,100,"Bliss",100,3,0.75,0.47
21,"CombPDX_CI",7,100,"Bliss",100,3,0.75,0.49
22,"AUC",7,100,"Bliss",100,3,0.75,0.53
87,"CombPDX_CI",10,100,"Bliss",100,3,0.75,0.66
88,"AUC",10,100,"Bliss",100,3,0.75,0.61
89,"CombPDX_CI",3,100,"Bliss",100,4,0.75,0.23
90,"AUC",3,100,"Bliss",100,4,0.75,0.4
91,"CombPDX_CI",5,100,"Bliss",100,4,0.75,0.37
92,"AUC",5,100,"Bliss",100,4,0.75,0.56
23,"CombPDX_CI",7,100,"Bliss",100,4,0.75,0.59
24,"AUC",7,100,"Bliss",100,4,0.75,0.52
95,"CombPDX_CI",10,100,"Bliss",100,4,0.75,0.7
96,"AUC",10,100,"Bliss",100,4,0.75,0.8
97,"CombPDX_CI",3,100,"Bliss",100,5,0.75,0.32
98,"AUC",3,100,"Bliss",100,5,0.75,0.37
99,"CombPDX_CI",5,100,"Bliss",100,5,0.75,0.34
100,"AUC",5,100,"Bliss",100,5,0.75,0.49
25,"CombPDX_CI",7,100,"Bliss",100,5,0.75,0.66
26,"AUC",7,100,"Bliss",100,5,0.75,0.68
103,"CombPDX_CI",10,100,"Bliss",100,5,0.75,0.83
104,"AUC",10,100,"Bliss",100,5,0.75,0.88
105,"CombPDX_CI",3,100,"Bliss",100,6,0.75,0.2
106,"AUC",3,100,"Bliss",100,6,0.75,0.34
107,"CombPDX_CI",5,100,"Bliss",100,6,0.75,0.46
108,"AUC",5,100,"Bliss",100,6,0.75,0.57
27,"CombPDX_CI",7,100,"Bliss",100,6,0.75,0.77
28,"AUC",7,100,"Bliss",100,6,0.75,0.74
111,"CombPDX_CI",10,100,"Bliss",100,6,0.75,0.8
112,"AUC",10,100,"Bliss",100,6,0.75,0.88
113,"CombPDX_CI",3,100,"Bliss",100,7,0.75,0.29
114,"AUC",3,100,"Bliss",100,7,0.75,0.38
115,"CombPDX_CI",5,100,"Bliss",100,7,0.75,0.58
116,"AUC",5,100,"Bliss",100,7,0.75,0.53
29,"CombPDX_CI",7,100,"Bliss",100,7,0.75,0.69
30,"AUC",7,100,"Bliss",100,7,0.75,0.73
119,"CombPDX_CI",10,100,"Bliss",100,7,0.75,0.92
120,"AUC",10,100,"Bliss",100,7,0.75,0.9
121,"CombPDX_CI",3,100,"Bliss",100,8,0.75,0.38
122,"AUC",3,100,"Bliss",100,8,0.75,0.47
123,"CombPDX_CI",5,100,"Bliss",100,8,0.75,0.52
124,"AUC",5,100,"Bliss",100,8,0.75,0.68
31,"CombPDX_CI",7,100,"Bliss",100,8,0.75,0.77
32,"AUC",7,100,"Bliss",100,8,0.75,0.76
127,"CombPDX_CI",10,100,"Bliss",100,8,0.75,0.96
128,"AUC",10,100,"Bliss",100,8,0.75,0.9
129,"CombPDX_CI",3,100,"Bliss",100,9,0.75,0.27
130,"AUC",3,100,"Bliss",100,9,0.75,0.37
131,"CombPDX_CI",5,100,"Bliss",100,9,0.75,0.62
132,"AUC",5,100,"Bliss",100,9,0.75,0.65
33,"CombPDX_CI",7,100,"Bliss",100,9,0.75,0.77
34,"AUC",7,100,"Bliss",100,9,0.75,0.89
135,"CombPDX_CI",10,100,"Bliss",100,9,0.75,0.98
136,"AUC",10,100,"Bliss",100,9,0.75,0.94
137,"CombPDX_CI",3,100,"Bliss",100,10,0.75,0.4
138,"AUC",3,100,"Bliss",100,10,0.75,0.37
139,"CombPDX_CI",5,100,"Bliss",100,10,0.75,0.7
140,"AUC",5,100,"Bliss",100,10,0.75,0.58
35,"CombPDX_CI",7,100,"Bliss",100,10,0.75,0.91
36,"AUC",7,100,"Bliss",100,10,0.75,0.87
143,"CombPDX_CI",10,100,"Bliss",100,10,0.75,0.96
144,"AUC",10,100,"Bliss",100,10,0.75,0.89
145,"CombPDX_CI",3,100,"Bliss",100,2,0.8,0.26
146,"AUC",3,100,"Bliss",100,2,0.8,0.5
147,"CombPDX_CI",5,100,"Bliss",100,2,0.8,0.65
148,"AUC",5,100,"Bliss",100,2,0.8,0.78
37,"CombPDX_CI",7,100,"Bliss",100,2,0.8,0.84
38,"AUC",7,100,"Bliss",100,2,0.8,0.88
